"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription"
90014,"gci_overall","Global Cybersecurity Index - Overall Score",,,49,"CHL","Chile",68.8,2021,"","Global Cybersecurity Index","Global Cybersecurity Index - Overall Score"
90014,"gci_overall","Global Cybersecurity Index - Overall Score",,,49,"CHL","Chile",70.2,2024,"","Global Cybersecurity Index","Global Cybersecurity Index - Overall Score"
90014,"gci_overall","Global Cybersecurity Index - Overall Score",,,50,"CHN","China",62.4,2017,"","Global Cybersecurity Index","Global Cybersecurity Index - Overall Score"
90014,"gci_overall","Global Cybersecurity Index - Overall Score",,,50,"CHN","China",82.8,2018,"","Global Cybersecurity Index","Global Cybersecurity Index - Overall Score"
90014,"gci_overall","Global Cybersecurity Index - Overall Score",,,50,"CHN","China",92.5,2021,"","Global Cybersecurity Index","Global Cybersecurity Index - Overall Score"
90014,"gci_overall","Global Cybersecurity Index - Overall Score",,,50,"CHN","China",91.7,2024,"","Global Cybersecurity Index","Global Cybersecurity Index - Overall Score"
90014,"gci_overall","Global Cybersecurity Index - Overall Score",,,53,"COL","Colombia",56.9,2017,"","Global Cybersecurity Index","Global Cybersecurity Index - Overall Score"
90014,"gci_overall","Global Cybersecurity Index - Overall Score",,,53,"COL","Colombia",56.5,2018,"","Global Cybersecurity Index","Global Cybersecurity Index - Overall Score"
90014,"gci_overall","Global Cybersecurity Index - Overall Score",,,53,"COL","Colombia",63.7,2021,"","Global Cybersecurity Index","Global Cybersecurity Index - Overall Score"
90014,"gci_overall","Global Cybersecurity Index - Overall Score",,,53,"COL","Colombia",65.7,2024,"","Global Cybersecurity Index","Global Cybersecurity Index - Overall Score"
90014,"gci_overall","Global Cybersecurity Index - Overall Score",,,54,"LKA","Sri Lanka",41.9,2017,"","Global Cybersecurity Index","Global Cybersecurity Index - Overall Score"
90014,"gci_overall","Global Cybersecurity Index - Overall Score",,,54,"LKA","Sri Lanka",46.6,2018,"","Global Cybersecurity Index","Global Cybersecurity Index - Overall Score"
90014,"gci_overall","Global Cybersecurity Index - Overall Score",,,54,"LKA","Sri Lanka",58.6,2021,"","Global Cybersecurity Index","Global Cybersecurity Index - Overall Score"
